Site,Date,UpperDepth,LowerDepth,Variable,Value,Unit,MethodID
Lacawac,11/23/1991,7,7,temp,5.8,DegreesCelsius,Method002
Giles,11/10/1995,14,14,temp,10.1,DegreesCelsius,Method002
Giles,10/11/1991,0,0,temp,15.8,DegreesCelsius,Method002
Giles,11/22/1994,13,13,temp,10,DegreesCelsius,Method002
Lacawac,11/12/1996,12,12,temp,7.9,DegreesCelsius,Method002
Giles,11/22/1994,11,11,temp,10,DegreesCelsius,Method002
Giles,9/11/1996,5,5,temp,23.6,DegreesCelsius,Method002
Lacawac,6/1/2017,3,3,temp,13.3,DegreesCelsius,Method144
Giles,7/26/1995,6,6,temp,24.4,DegreesCelsius,Method002
Giles,6/7/1994,20,20,temp,6.3,DegreesCelsius,Method002
Waynewood,12/27/1989,3,3,temp,3,DegreesCelsius,Method002
Waynewood,7/31/1989,9,9,temp,8,DegreesCelsius,Method002
Lacawac,10/10/2015,4,4,temp,15.8,DegreesCelsius,Method002
Waynewood,7/20/1993,-1,-1,temp,24.4,DegreesCelsius,Method002
Giles,6/26/2001,4,4,temp,21.8,DegreesCelsius,Method002
Giles,4/7/2017,6,6,temp,4.9,DegreesCelsius,Method144
Giles,7/15/2003,12,12,temp,8.4,DegreesCelsius,Method002
Lacawac,6/14/2012,3,3,temp,17.7,DegreesCelsius,Method002
Waynewood,7/12/1996,6,6,temp,11,DegreesCelsius,Method002
Giles,7/6/1988,14,14,temp,7,DegreesCelsius,Method002
Lacawac,7/19/1988,9,9,temp,4.5,DegreesCelsius,Method002
Lacawac,3/27/1992,2,2,temp,2.8,DegreesCelsius,Method002
Giles,6/22/1993,10,10,temp,13.9,DegreesCelsius,Method002
Giles,8/10/2010,10,10,temp,13.2,DegreesCelsius,Method002
Waynewood,6/13/1996,7,7,temp,8.4,DegreesCelsius,Method002
Giles,5/11/2012,3,3,temp,14.1,DegreesCelsius,Method002
Lacawac,7/2/1992,0,0,temp,23.2,DegreesCelsius,Method002
Giles,7/25/1995,0,0,temp,24.6,DegreesCelsius,Method002
Giles,1/26/1990,5,5,temp,4.1,DegreesCelsius,Method002
Lacawac,4/19/2012,1,1,temp,13.2,DegreesCelsius,Method002
Waynewood,8/7/1996,3,3,temp,20.8,DegreesCelsius,Method002
Giles,9/6/2012,18,18,temp,6.6,DegreesCelsius,Method002
Giles,4/7/2017,19,19,temp,4.8,DegreesCelsius,Method144
Lacawac,6/9/1993,0,0,temp,20.8,DegreesCelsius,Method002
Giles,9/11/1996,1,1,temp,23.7,DegreesCelsius,Method002
Waynewood,7/12/1996,3,3,temp,22.2,DegreesCelsius,Method002
Waynewood,7/12/1996,4,4,temp,18,DegreesCelsius,Method002
Giles,5/11/2012,19,19,temp,5.5,DegreesCelsius,Method002
Giles,6/5/1997,9,9,temp,13.2,DegreesCelsius,Method002
Giles,1/26/1990,-1,-1,temp,0,DegreesCelsius,Method002
Lacawac,7/30/2018,5,5,temp,12.5,DegreesCelsius,Method144
Giles,1/26/1990,1,1,temp,4,DegreesCelsius,Method002
Giles,5/12/1992,1,1,temp,12.8,DegreesCelsius,Method002
Waynewood,5/25/2012,6,6,temp,9.3,DegreesCelsius,Method002
Lacawac,3/23/2007,1,1,temp,4.5,DegreesCelsius,Method002
Lacawac,7/19/1988,11,11,temp,4,DegreesCelsius,Method002
Giles,8/12/1991,14,14,temp,12.1,DegreesCelsius,Method002
Lacawac,4/12/1991,3,3,temp,10.2,DegreesCelsius,Method002
Giles,8/10/2010,3,3,temp,25.4,DegreesCelsius,Method002
Giles,7/21/2016,18,18,temp,6.9,DegreesCelsius,Method002
Lacawac,7/20/1993,9,9,temp,7,DegreesCelsius,Method002
Giles,1/26/1990,17,17,temp,4.1,DegreesCelsius,Method002
Giles,6/15/2018,9,9,temp,8.2,DegreesCelsius,Method144
Giles,6/15/2018,8,8,temp,9.4,DegreesCelsius,Method144
Lacawac,7/8/2016,3,3,temp,23.9,DegreesCelsius,Method002
Giles,9/3/1990,3,3,temp,22.1,DegreesCelsius,Method002
Waynewood,7/12/1996,9,9,temp,7.8,DegreesCelsius,Method002
Giles,6/17/1991,5,5,temp,21.2,DegreesCelsius,Method002
Giles,6/15/2018,14,14,temp,6.2,DegreesCelsius,Method144
Giles,9/3/1990,2,2,temp,22.3,DegreesCelsius,Method002
Giles,6/25/2003,3,3,temp,18.4,DegreesCelsius,Method002
Giles,8/2/1988,21,21,temp,4,DegreesCelsius,Method002
Giles,2/16/1990,19,19,temp,4.2,DegreesCelsius,Method002
Lacawac,1/26/1990,12,12,temp,4.6,DegreesCelsius,Method002
Giles,8/2/1988,19,19,temp,4.5,DegreesCelsius,Method002
Giles,9/21/1991,4,4,temp,20.4,DegreesCelsius,Method002
Giles,9/3/1990,-1,-1,temp,21.4,DegreesCelsius,Method002
Giles,6/17/1991,2,2,temp,22.3,DegreesCelsius,Method002
Giles,9/3/1990,1,1,temp,22.1,DegreesCelsius,Method002
Giles,9/6/2012,14,14,temp,8.8,DegreesCelsius,Method002
Lacawac,8/17/2014,9,9,temp,7.2,DegreesCelsius,Method002
Lacawac,8/17/2014,8,8,temp,7.9,DegreesCelsius,Method002
Giles,6/10/2009,2,2,temp,19.9,DegreesCelsius,Method002
Lacawac,8/14/2017,3,3,temp,23.2,DegreesCelsius,Method144
Giles,8/25/1992,20,20,temp,8.3,DegreesCelsius,Method002
Giles,5/16/2011,18,18,temp,5.2,DegreesCelsius,Method002
Giles,7/15/2008,13,13,temp,7.3,DegreesCelsius,Method002
Lacawac,9/20/2000,4,4,temp,18.6,DegreesCelsius,Method002
Lacawac,11/19/1990,11,11,temp,5.2,DegreesCelsius,Method002
Lacawac,8/13/2012,8,8,temp,9.2,DegreesCelsius,Method002
Lacawac,8/27/2015,3,3,temp,23.7,DegreesCelsius,Method002
Giles,5/9/1994,17,17,temp,6,DegreesCelsius,Method002
Giles,4/19/2012,21,21,temp,4.8,DegreesCelsius,Method002
Giles,4/19/2012,1,1,temp,12.2,DegreesCelsius,Method002
Giles,5/9/1994,16,16,temp,6.2,DegreesCelsius,Method002
Waynewood,6/11/1997,5,5,temp,13.8,DegreesCelsius,Method002
Waynewood,8/13/2012,2,2,temp,24.9,DegreesCelsius,Method002
Waynewood,2/22/1992,4,4,temp,3.3,DegreesCelsius,Method002
Lacawac,6/15/1997,6,6,temp,12.3,DegreesCelsius,Method002
Giles,10/9/2015,16,16,temp,6,DegreesCelsius,Method002
Giles,6/16/2014,18,18,temp,5.1,DegreesCelsius,Method002
Lacawac,8/13/2012,5,5,temp,15.1,DegreesCelsius,Method002
Waynewood,8/13/2012,10,10,temp,8,DegreesCelsius,Method002
Lacawac,9/20/2000,0,0,temp,20.6,DegreesCelsius,Method002
Giles,7/15/2010,8,8,temp,16.2,DegreesCelsius,Method002
Giles,8/25/1992,13,13,temp,12.4,DegreesCelsius,Method002
Lacawac,7/17/1990,9,9,temp,8.1,DegreesCelsius,Method002
Lacawac,6/2/2011,1,1,temp,23.5,DegreesCelsius,Method002
Giles,7/15/2010,6,6,temp,22.4,DegreesCelsius,Method002
Giles,4/30/2013,4,4,temp,11.6,DegreesCelsius,Method002
Lacawac,7/6/1993,6,6,temp,9.8,DegreesCelsius,Method002
Lacawac,7/11/2017,10,10,temp,6.3,DegreesCelsius,Method144
Lacawac,7/11/2017,11,11,temp,6.3,DegreesCelsius,Method144
Giles,4/19/2012,10,10,temp,8.4,DegreesCelsius,Method002
Waynewood,4/19/1993,9,9,temp,5.5,DegreesCelsius,Method002
Giles,6/11/1997,8,8,temp,15,DegreesCelsius,Method002
Giles,9/13/2016,11,11,temp,12.1,DegreesCelsius,Method144
Giles,5/21/2018,20,20,temp,5.2,DegreesCelsius,Method144
Lacawac,12/30/1992,10,10,temp,3,DegreesCelsius,Method002
Giles,7/20/1993,18,18,temp,9.3,DegreesCelsius,Method002
Lacawac,6/28/2016,3,3,temp,22.9,DegreesCelsius,Method002
Giles,7/29/1991,5,5,temp,24,DegreesCelsius,Method002
Lacawac,12/30/1992,0,0,temp,2,DegreesCelsius,Method002
Lacawac,6/28/2016,12,12,temp,7.1,DegreesCelsius,Method002
Lacawac,7/23/1996,7,7,temp,8.8,DegreesCelsius,Method002
Lacawac,8/14/2008,6,6,temp,11.9,DegreesCelsius,Method002
Lacawac,10/8/1989,12,12,temp,8.5,DegreesCelsius,Method002
Lacawac,8/14/2008,5,5,temp,17.6,DegreesCelsius,Method002
Giles,6/10/2008,9,9,temp,10.1,DegreesCelsius,Method002
Waynewood,7/30/1991,4,4,temp,22.5,DegreesCelsius,Method002
Waynewood,7/30/1991,5,5,temp,17.2,DegreesCelsius,Method002
Waynewood,7/30/1991,6,6,temp,12.3,DegreesCelsius,Method002
Giles,6/29/2015,10,10,temp,8.7,DegreesCelsius,Method002
Lacawac,9/4/2012,10,10,temp,8.5,DegreesCelsius,Method002
Lacawac,5/12/2012,11,11,temp,8.1,DegreesCelsius,Method002
Giles,10/15/2016,11,11,temp,10.8,DegreesCelsius,Method144
Lacawac,9/14/2016,10,10,temp,7.6,DegreesCelsius,Method144
Lacawac,1/21/1993,-1,-1,temp,2.1,DegreesCelsius,Method002
Giles,6/10/2009,16,16,temp,6.7,DegreesCelsius,Method002
Giles,6/14/2016,22,22,temp,6.5,DegreesCelsius,Method002
Waynewood,8/11/1992,7,7,temp,8.5,DegreesCelsius,Method002
Giles,10/15/2016,0,0,temp,15.8,DegreesCelsius,Method144
Lacawac,7/5/1994,13,13,temp,6.4,DegreesCelsius,Method002
Waynewood,7/18/1989,6,6,temp,9.4,DegreesCelsius,Method002
Waynewood,5/18/2017,2,2,temp,14.8,DegreesCelsius,Method144
Giles,7/25/1995,12,12,temp,12.3,DegreesCelsius,Method002
Giles,10/15/2010,5,5,temp,15.4,DegreesCelsius,Method002
Waynewood,7/29/1992,-1,-1,temp,18.2,DegreesCelsius,Method002
Giles,5/19/2009,6,6,temp,14,DegreesCelsius,Method002
Giles,4/21/1997,8,8,temp,6.6,DegreesCelsius,Method002
Giles,10/15/2010,21,21,temp,5.5,DegreesCelsius,Method002
Lacawac,8/12/1992,8,8,temp,7.2,DegreesCelsius,Method002
Lacawac,7/18/1996,7,7,temp,9.2,DegreesCelsius,Method002
Giles,8/14/2012,18,18,temp,6.4,DegreesCelsius,Method002
Giles,8/11/1990,7,7,temp,23,DegreesCelsius,Method002
Giles,4/21/1997,6,6,temp,6.6,DegreesCelsius,Method002
Giles,11/19/1990,1,1,temp,7.9,DegreesCelsius,Method002
Giles,8/18/1993,5,5,temp,22.9,DegreesCelsius,Method002
Giles,11/19/1990,20,20,temp,7.9,DegreesCelsius,Method002
Lacawac,7/3/1989,5,5,temp,13.7,DegreesCelsius,Method002
Waynewood,7/16/2008,8,8,temp,7.4,DegreesCelsius,Method002
Giles,8/11/1990,4,4,temp,23,DegreesCelsius,Method002
Waynewood,7/16/2008,6,6,temp,10.3,DegreesCelsius,Method002
Giles,6/6/2018,20,20,temp,5.3,DegreesCelsius,Method144
Lacawac,6/22/2007,13,13,temp,5.2,DegreesCelsius,Method002
Lacawac,6/15/2014,4,4,temp,15.4,DegreesCelsius,Method002
Giles,4/9/1992,18,18,temp,3.8,DegreesCelsius,Method002
Lacawac,9/20/1994,1,1,temp,20.2,DegreesCelsius,Method002
Waynewood,7/15/1992,8,8,temp,7.5,DegreesCelsius,Method002
Lacawac,8/14/2018,6,6,temp,10.6,DegreesCelsius,Method144
Giles,9/25/2015,7,7,temp,20.3,DegreesCelsius,Method002
Lacawac,11/20/1997,11,11,temp,4.4,DegreesCelsius,Method002
Giles,8/11/1990,23,23,temp,8.6,DegreesCelsius,Method002
Lacawac,7/3/1989,13,13,temp,8.3,DegreesCelsius,Method002
Lacawac,7/28/2018,10,10,temp,6.4,DegreesCelsius,Method144
Giles,8/16/2011,5,5,temp,23.3,DegreesCelsius,Method002
Waynewood,7/16/2008,10,10,temp,6.2,DegreesCelsius,Method002
Waynewood,8/1/1990,1,1,temp,24.1,DegreesCelsius,Method002
Giles,7/15/2016,17,17,temp,7,DegreesCelsius,Method002
Lacawac,4/20/1993,-1,-1,temp,17.5,DegreesCelsius,Method002
Waynewood,7/31/1989,11,11,temp,7.6,DegreesCelsius,Method002
Giles,3/23/1995,21,21,temp,4.8,DegreesCelsius,Method002
Giles,5/21/2018,5,5,temp,13.2,DegreesCelsius,Method144
Giles,8/18/2014,5,5,temp,21.8,DegreesCelsius,Method002
Waynewood,7/15/1992,1,1,temp,24.6,DegreesCelsius,Method002
Lacawac,9/14/2009,5,5,temp,19.1,DegreesCelsius,Method002
Giles,8/11/1990,18,18,temp,9.6,DegreesCelsius,Method002
Waynewood,11/20/1997,6,6,temp,5.2,DegreesCelsius,Method002
Giles,3/23/1995,18,18,temp,4.8,DegreesCelsius,Method002
Giles,8/11/1992,20,20,temp,8.2,DegreesCelsius,Method002
Waynewood,7/15/1992,10,10,temp,6.6,DegreesCelsius,Method002
Giles,10/23/2015,4,4,temp,13.6,DegreesCelsius,Method002
Lacawac,9/24/1989,11,11,temp,8.5,DegreesCelsius,Method002
Giles,8/1/1989,12,12,temp,12.3,DegreesCelsius,Method002
Giles,6/29/2015,17,17,temp,5.1,DegreesCelsius,Method002
Giles,8/11/1990,15,15,temp,11.3,DegreesCelsius,Method002
Giles,7/15/2016,13,13,temp,8.9,DegreesCelsius,Method144
Giles,9/25/2015,21,21,temp,5.2,DegreesCelsius,Method002
Giles,6/18/1990,20,20,temp,8,DegreesCelsius,Method002
Waynewood,11/19/1990,2,2,temp,5.5,DegreesCelsius,Method002
Lacawac,8/14/2017,10,10,temp,6.6,DegreesCelsius,Method144
Lacawac,8/27/1991,9,9,temp,8.6,DegreesCelsius,Method002
Giles,7/5/1989,22,22,temp,8.3,DegreesCelsius,Method002
Lacawac,7/17/2006,2,2,temp,27.7,DegreesCelsius,Method002
Giles,9/25/2015,20,20,temp,5.2,DegreesCelsius,Method002
Giles,8/11/1992,15,15,temp,10,DegreesCelsius,Method002
Lacawac,7/14/2008,7,7,temp,8.5,DegreesCelsius,Method002
Lacawac,8/12/2015,9,9,temp,6.5,DegreesCelsius,Method002
Giles,7/15/2016,10,10,temp,12,DegreesCelsius,Method144
Giles,10/23/2015,1,1,temp,13.7,DegreesCelsius,Method002
Lacawac,7/6/2018,4,4,temp,15.6,DegreesCelsius,Method144
Lacawac,5/13/1992,9,9,temp,5,DegreesCelsius,Method002
Waynewood,8/18/1993,11,11,temp,6.6,DegreesCelsius,Method002
Waynewood,7/9/2012,3,3,temp,20.7,DegreesCelsius,Method002
Lacawac,5/20/2018,3,3,temp,14.6,DegreesCelsius,Method144
Waynewood,9/26/1997,2,2,temp,17.6,DegreesCelsius,Method002
Giles,7/15/2015,11,11,temp,8,DegreesCelsius,Method002
Giles,7/18/1996,7,7,temp,21.6,DegreesCelsius,Method002
Giles,4/27/2009,8,8,temp,7.9,DegreesCelsius,Method002
Giles,7/5/1989,16,16,temp,8.8,DegreesCelsius,Method002
Giles,10/23/2015,8,8,temp,13.6,DegreesCelsius,Method002
Lacawac,7/14/2008,2,2,temp,24.8,DegreesCelsius,Method002
Giles,2/20/1994,1,1,temp,2.6,DegreesCelsius,Method002
Giles,11/12/1989,21,21,temp,10.2,DegreesCelsius,Method002
Giles,8/16/2011,19,19,temp,5.6,DegreesCelsius,Method002
Lacawac,8/12/2015,4,4,temp,22.2,DegreesCelsius,Method002
Giles,6/16/1992,13,13,temp,6.9,DegreesCelsius,Method002
Giles,7/5/1989,11,11,temp,11.9,DegreesCelsius,Method002
Lacawac,7/14/2008,10,10,temp,6.4,DegreesCelsius,Method002
Lacawac,8/12/2009,5,5,temp,14.8,DegreesCelsius,Method002
Lacawac,8/24/2000,6,6,temp,11.1,DegreesCelsius,Method002
Giles,4/27/2009,20,20,temp,6.1,DegreesCelsius,Method002
Giles,10/19/1990,9,9,temp,16.5,DegreesCelsius,Method002
Waynewood,6/6/1989,10,10,temp,7.5,DegreesCelsius,Method002
Waynewood,6/6/1989,9,9,temp,8,DegreesCelsius,Method002
Giles,3/25/1990,16,16,temp,5.8,DegreesCelsius,Method002
Lacawac,7/6/1993,5,5,temp,13.5,DegreesCelsius,Method002
Giles,3/25/1990,12,12,temp,5.8,DegreesCelsius,Method002
Lacawac,5/17/2012,12,12,temp,8.1,DegreesCelsius,Method002
Giles,3/25/1990,13,13,temp,5.8,DegreesCelsius,Method002
Waynewood,7/20/1993,8,8,temp,7.3,DegreesCelsius,Method002
Giles,9/23/1992,3,3,temp,19.8,DegreesCelsius,Method002
Giles,5/21/2018,6,6,temp,10.6,DegreesCelsius,Method144
Lacawac,9/13/2017,10,10,temp,6.6,DegreesCelsius,Method144
Lacawac,6/22/1993,3,3,temp,21.1,DegreesCelsius,Method002
Lacawac,8/12/2009,1,1,temp,25.5,DegreesCelsius,Method002
Giles,11/12/1989,11,11,temp,10.4,DegreesCelsius,Method002
Giles,11/12/1989,10,10,temp,10.4,DegreesCelsius,Method002
Lacawac,8/12/2015,11,11,temp,6,DegreesCelsius,Method002
Waynewood,2/24/1991,12,12,temp,4.2,DegreesCelsius,Method002
Giles,8/29/1989,14,14,temp,11.6,DegreesCelsius,Method002
Giles,2/24/1991,10,10,temp,4.2,DegreesCelsius,Method002
Giles,6/13/1988,0,0,temp,15,DegreesCelsius,Method002
Giles,9/14/2009,0,0,temp,20.9,DegreesCelsius,Method002
Lacawac,10/16/2009,3,3,temp,10.7,DegreesCelsius,Method002
Lacawac,3/27/1992,7,7,temp,2.8,DegreesCelsius,Method002
Giles,5/17/1990,3,3,temp,14.1,DegreesCelsius,Method002
Lacawac,4/13/2007,5,5,temp,4.7,DegreesCelsius,Method002
Lacawac,7/25/1995,0,0,temp,28.1,DegreesCelsius,Method002
Lacawac,3/27/1992,5,5,temp,2.8,DegreesCelsius,Method002
Giles,8/16/2011,1,1,temp,23.3,DegreesCelsius,Method002
Giles,4/19/1993,17,17,temp,5.2,DegreesCelsius,Method002
Waynewood,7/6/1993,2,2,temp,24.8,DegreesCelsius,Method002
Waynewood,8/11/2016,11,11,temp,7,DegreesCelsius,Method002
Giles,7/19/1990,16,16,temp,10,DegreesCelsius,Method002
Waynewood,8/18/1993,8,8,temp,8,DegreesCelsius,Method002
Lacawac,5/26/2012,1,1,temp,23.3,DegreesCelsius,Method002
Waynewood,8/17/2014,11.5,11.5,temp,6.9,DegreesCelsius,Method002
Giles,8/24/1994,-1,-1,temp,21.8,DegreesCelsius,Method002
Giles,6/20/2012,10,10,temp,12.1,DegreesCelsius,Method002
Waynewood,8/17/2014,0,0,temp,21.4,DegreesCelsius,Method002
Lacawac,6/13/1996,4,4,temp,15,DegreesCelsius,Method002
Giles,7/31/1990,19,19,temp,9.2,DegreesCelsius,Method002
Waynewood,5/12/1992,6,6,temp,6,DegreesCelsius,Method002
Giles,10/19/1990,11,11,temp,16.4,DegreesCelsius,Method002
Waynewood,12/29/1992,8,8,temp,3,DegreesCelsius,Method002
Lacawac,8/4/2018,9,9,temp,6.8,DegreesCelsius,Method144
Giles,7/28/1992,20,20,temp,8,DegreesCelsius,Method002
Lacawac,6/9/2008,12,12,temp,6,DegreesCelsius,Method002
Giles,8/13/2007,8,8,temp,19.4,DegreesCelsius,Method002
Lacawac,4/9/2005,9,9,temp,4.4,DegreesCelsius,Method002
Waynewood,1/20/1993,3,3,temp,3.4,DegreesCelsius,Method002
Lacawac,6/6/1989,11,11,temp,8,DegreesCelsius,Method002
Giles,8/16/2011,0,0,temp,23.2,DegreesCelsius,Method002
Giles,6/15/2005,2,2,temp,25.2,DegreesCelsius,Method002
Giles,6/15/2005,21,21,temp,4.9,DegreesCelsius,Method002
Waynewood,1/20/1993,7,7,temp,3.8,DegreesCelsius,Method002
Lacawac,4/10/1992,8,8,temp,4.4,DegreesCelsius,Method002
Waynewood,8/28/1989,3,3,temp,21.6,DegreesCelsius,Method002
Lacawac,9/3/1990,11,11,temp,9,DegreesCelsius,Method002
Giles,8/2/2018,15,15,temp,6.5,DegreesCelsius,Method144
Lacawac,7/15/2013,5,5,temp,14.3,DegreesCelsius,Method002
Giles,10/9/1989,8,8,temp,15.2,DegreesCelsius,Method002
Lacawac,10/24/2015,0,0,temp,10.4,DegreesCelsius,Method002
Giles,9/17/2010,12,12,temp,9.8,DegreesCelsius,Method002
Lacawac,6/13/1996,10,10,temp,6.8,DegreesCelsius,Method002
Giles,4/11/2006,2,2,temp,6.5,DegreesCelsius,Method002
Giles,9/11/2017,21,21,temp,5.3,DegreesCelsius,Method144
Giles,9/11/2017,19,19,temp,5.4,DegreesCelsius,Method144
Giles,10/9/1989,4,4,temp,15.2,DegreesCelsius,Method002
Giles,2/21/1992,15,15,temp,2.5,DegreesCelsius,Method002
Giles,7/12/1988,20,20,temp,4.5,DegreesCelsius,Method002
Lacawac,10/11/2017,3,3,temp,18.7,DegreesCelsius,Method144
Lacawac,10/11/2017,4,4,temp,17.9,DegreesCelsius,Method144
Giles,7/1/2013,15,15,temp,6.3,DegreesCelsius,Method002
Giles,2/21/1992,13,13,temp,2.5,DegreesCelsius,Method002
Giles,11/16/1993,22,22,temp,8.7,DegreesCelsius,Method002
Giles,6/7/1994,21,21,temp,6.2,DegreesCelsius,Method002
Giles,7/1/2013,13,13,temp,7,DegreesCelsius,Method002
Giles,6/7/1994,1,1,temp,18.3,DegreesCelsius,Method002
Giles,7/1/1991,7,7,temp,22.3,DegreesCelsius,Method002
Giles,8/15/2017,8,8,temp,14.8,DegreesCelsius,Method144
Lacawac,8/28/1989,2,2,temp,22.5,DegreesCelsius,Method002
Lacawac,4/10/1992,2,2,temp,4.9,DegreesCelsius,Method002
Lacawac,8/4/2018,2,2,temp,25,DegreesCelsius,Method144
Lacawac,9/14/2009,10,10,temp,7.4,DegreesCelsius,Method002
Lacawac,6/30/2011,4,4,temp,14.2,DegreesCelsius,Method002
Lacawac,4/12/1997,-1,-1,temp,5.4,DegreesCelsius,Method002
Giles,7/24/2003,6,6,temp,21.1,DegreesCelsius,Method002
Giles,6/22/2015,10,10,temp,8.5,DegreesCelsius,Method002
Waynewood,3/22/1993,12,12,temp,4.5,DegreesCelsius,Method002
Lacawac,6/19/2012,12,12,temp,8.2,DegreesCelsius,Method002
Giles,8/15/2017,12,12,temp,7.8,DegreesCelsius,Method144
Lacawac,8/4/2018,5,5,temp,13.5,DegreesCelsius,Method144
Lacawac,8/4/2018,6,6,temp,9.8,DegreesCelsius,Method144
Lacawac,2/19/1993,11,11,temp,4.2,DegreesCelsius,Method002
Giles,6/26/2001,16,16,temp,7,DegreesCelsius,Method002
Waynewood,8/2/2018,9,9,temp,6.6,DegreesCelsius,Method144
Giles,8/13/2008,2,2,temp,23.4,DegreesCelsius,Method002
Waynewood,7/19/2016,9,9,temp,7.4,DegreesCelsius,Method002
Giles,5/17/2010,4,4,temp,14.3,DegreesCelsius,Method002
Giles,7/24/2003,13,13,temp,8.2,DegreesCelsius,Method002
Lacawac,6/7/1990,1,1,temp,19.5,DegreesCelsius,Method002
Giles,10/9/1989,14,14,temp,15.2,DegreesCelsius,Method002
Lacawac,7/15/2013,11,11,temp,5.9,DegreesCelsius,Method002
Lacawac,4/26/1994,-1,-1,temp,18.6,DegreesCelsius,Method002
Lacawac,6/10/2009,8,8,temp,7.5,DegreesCelsius,Method002
Waynewood,7/19/2016,7,7,temp,8.5,DegreesCelsius,Method002
Giles,9/6/2012,8,8,temp,19.8,DegreesCelsius,Method002
Waynewood,6/14/2018,9,9,temp,6.1,DegreesCelsius,Method144
Lacawac,7/31/1991,8,8,temp,8.9,DegreesCelsius,Method002
Waynewood,10/8/1989,3,3,temp,13.4,DegreesCelsius,Method002
Lacawac,10/14/2016,12,12,temp,7.5,DegreesCelsius,Method144
Lacawac,4/26/1994,10,10,temp,5.8,DegreesCelsius,Method002
Giles,4/13/1991,9,9,temp,7.1,DegreesCelsius,Method002
Giles,8/13/2008,14,14,temp,7.3,DegreesCelsius,Method002
Giles,7/19/1990,9,9,temp,18,DegreesCelsius,Method002
Lacawac,7/19/1994,-1,-1,temp,28.5,DegreesCelsius,Method002
Giles,7/1/1991,17,17,temp,7.6,DegreesCelsius,Method002
Giles,11/10/1995,5,5,temp,10.2,DegreesCelsius,Method002
Giles,5/25/1994,5,5,temp,14.1,DegreesCelsius,Method002
Giles,6/22/1993,2,2,temp,22.3,DegreesCelsius,Method002
Giles,4/13/1991,6,6,temp,8.3,DegreesCelsius,Method002
Giles,5/17/2010,17,17,temp,5.1,DegreesCelsius,Method002
Giles,7/16/2014,6,6,temp,18.4,DegreesCelsius,Method002
Giles,7/14/1992,8,8,temp,17.4,DegreesCelsius,Method002
Waynewood,8/8/2018,9,9,temp,6.9,DegreesCelsius,Method144
Waynewood,5/19/2016,8,8,temp,7,DegreesCelsius,Method002
Giles,7/13/2011,6,6,temp,18.3,DegreesCelsius,Method002
Lacawac,7/12/2012,5,5,temp,12.8,DegreesCelsius,Method002
Lacawac,12/13/1990,6,6,temp,3.1,DegreesCelsius,Method002
Lacawac,12/13/1990,4,4,temp,3.1,DegreesCelsius,Method002
Lacawac,11/22/1994,5,5,temp,8.3,DegreesCelsius,Method002
Lacawac,7/2/1992,6,6,temp,9.8,DegreesCelsius,Method002
Lacawac,5/12/2012,7,7,temp,9.5,DegreesCelsius,Method002
Giles,10/15/2016,1,1,temp,15.8,DegreesCelsius,Method144
Waynewood,7/18/1996,8,8,temp,8,DegreesCelsius,Method002
Lacawac,7/25/1995,1,1,temp,26.9,DegreesCelsius,Method004
Lacawac,6/9/1993,5,5,temp,11.4,DegreesCelsius,Method002
Lacawac,4/12/1996,9,9,temp,6.2,DegreesCelsius,Method002
Giles,4/13/1991,22,22,temp,5,DegreesCelsius,Method002
Waynewood,8/25/1992,4,4,temp,19.2,DegreesCelsius,Method002
Lacawac,2/20/1994,12,12,temp,4.5,DegreesCelsius,Method002
Waynewood,7/18/1996,5,5,temp,13.4,DegreesCelsius,Method002
Lacawac,10/12/1991,12,12,temp,7.4,DegreesCelsius,Method002
Lacawac,6/4/2015,13,13,temp,5.2,DegreesCelsius,Method002
Giles,7/10/2017,22,22,temp,5.2,DegreesCelsius,Method144
Giles,10/9/2015,21,21,temp,5.3,DegreesCelsius,Method002
Waynewood,7/30/1991,11,11,temp,7.1,DegreesCelsius,Method002
Waynewood,5/18/2017,6,6,temp,7.1,DegreesCelsius,Method144
Giles,7/6/1988,18,18,temp,5,DegreesCelsius,Method002
Lacawac,6/13/1996,5,5,temp,11.2,DegreesCelsius,Method002
Waynewood,4/12/1996,1,1,temp,6.5,DegreesCelsius,Method002
Giles,4/17/2006,18,18,temp,5.5,DegreesCelsius,Method002
Lacawac,1/21/1993,2,2,temp,4,DegreesCelsius,Method002
Waynewood,7/31/1989,10,10,temp,7.8,DegreesCelsius,Method002
Giles,4/23/2007,7,7,temp,6.7,DegreesCelsius,Method002
Lacawac,10/9/2018,10,10,temp,7.1,DegreesCelsius,Method144
Lacawac,6/14/2012,9,9,temp,8.4,DegreesCelsius,Method002
Giles,4/19/1993,18,18,temp,5.1,DegreesCelsius,Method002
Giles,7/13/2011,18,18,temp,5.7,DegreesCelsius,Method002
Waynewood,7/12/1996,7,7,temp,9,DegreesCelsius,Method002
Lacawac,7/23/1995,0,0,temp,25.9,DegreesCelsius,Method002
Waynewood,7/12/1996,8,8,temp,8,DegreesCelsius,Method002
Lacawac,4/19/2012,4,4,temp,9.4,DegreesCelsius,Method002
Giles,8/10/2010,11,11,temp,11.1,DegreesCelsius,Method002
Lacawac,6/29/2015,3,3,temp,21.1,DegreesCelsius,Method002
Giles,9/25/1989,7,7,temp,19,DegreesCelsius,Method002
Giles,7/13/2011,15,15,temp,6.5,DegreesCelsius,Method002
