Site,Date,UpperDepth,LowerDepth,Variable,Value,Unit,MethodID
Giles,8/22/2000,17,17,temp,8.5,DegreesCelsius,Method002
Giles,6/21/1988,13,13,temp,6,DegreesCelsius,Method002
Waynewood,7/6/1993,8,8,temp,6.9,DegreesCelsius,Method002
Lacawac,9/24/1989,9,9,temp,9.1,DegreesCelsius,Method002
Giles,2/16/1990,8,8,temp,4.3,DegreesCelsius,Method002
Lacawac,8/14/2018,7,7,temp,8.8,DegreesCelsius,Method144
Giles,10/14/1992,17,17,temp,10.1,DegreesCelsius,Method002
Waynewood,6/17/2012,4,4,temp,12.3,DegreesCelsius,Method002
Lacawac,7/3/1989,12,12,temp,8.3,DegreesCelsius,Method002
Lacawac,7/22/2016,5,5,temp,14.7,DegreesCelsius,Method144
Giles,7/15/2008,10,10,temp,10.6,DegreesCelsius,Method002
Lacawac,7/4/2016,11,11,temp,7,DegreesCelsius,Method002
Giles,9/11/1989,10,10,temp,19.8,DegreesCelsius,Method002
Waynewood,7/20/1993,11,11,temp,6.6,DegreesCelsius,Method002
Giles,8/25/1992,17,17,temp,9.4,DegreesCelsius,Method002
Giles,8/11/1990,-1,-1,temp,22.7,DegreesCelsius,Method002
Waynewood,6/13/1996,12,12,temp,6.9,DegreesCelsius,Method002
Giles,6/5/1997,12,12,temp,10.5,DegreesCelsius,Method002
Waynewood,11/20/1997,7,7,temp,5.2,DegreesCelsius,Method002
Giles,6/13/1996,20,20,temp,6,DegreesCelsius,Method002
Waynewood,1/24/1992,11,11,temp,2.9,DegreesCelsius,Method002
Waynewood,4/11/1997,11,11,temp,5.5,DegreesCelsius,Method002
Giles,6/12/2013,1,1,temp,19,DegreesCelsius,Method002
Waynewood,6/13/1996,1,1,temp,24.4,DegreesCelsius,Method002
Giles,6/20/1989,19,19,temp,7.9,DegreesCelsius,Method002
Waynewood,6/13/1996,12,12,temp,6.9,DegreesCelsius,Method002
Giles,6/29/2015,20,20,temp,4.9,DegreesCelsius,Method002
Giles,1/26/1990,22,22,temp,4.1,DegreesCelsius,Method002
Lacawac,4/19/2012,11,11,temp,7.8,DegreesCelsius,Method002
Lacawac,9/20/1994,10,10,temp,7.3,DegreesCelsius,Method002
Giles,8/22/2000,6,6,temp,21.1,DegreesCelsius,Method002
Lacawac,9/28/1993,0,0,temp,16.4,DegreesCelsius,Method002
Giles,8/26/1991,2,2,temp,23.1,DegreesCelsius,Method002
Waynewood,5/25/2012,9,9,temp,8,DegreesCelsius,Method002
Giles,5/19/2009,19,19,temp,6.2,DegreesCelsius,Method002
Lacawac,9/24/1989,7,7,temp,11.4,DegreesCelsius,Method002
Giles,4/9/1992,14,14,temp,3.8,DegreesCelsius,Method002
Giles,10/16/2009,16,16,temp,7.3,DegreesCelsius,Method002
Waynewood,7/15/1992,5,5,temp,13.1,DegreesCelsius,Method002
Giles,7/26/1995,8,8,temp,21.5,DegreesCelsius,Method002
Giles,6/17/1991,17,17,temp,7.3,DegreesCelsius,Method002
Giles,6/10/2009,20,20,temp,6.4,DegreesCelsius,Method002
Lacawac,10/18/1994,2,2,temp,13.1,DegreesCelsius,Method002
Lacawac,10/14/2016,6,6,temp,14.4,DegreesCelsius,Method144
Lacawac,6/22/2007,11,11,temp,5.3,DegreesCelsius,Method002
Lacawac,6/22/2007,12,12,temp,5.2,DegreesCelsius,Method002
Lacawac,7/22/2016,7,7,temp,9.1,DegreesCelsius,Method144
Waynewood,8/25/1992,6,6,temp,10.6,DegreesCelsius,Method002
Giles,3/17/1991,18,18,temp,3.6,DegreesCelsius,Method002
Lacawac,11/23/1991,9,9,temp,5.6,DegreesCelsius,Method002
Lacawac,11/23/1991,8,8,temp,5.6,DegreesCelsius,Method002
Giles,6/21/1988,9,9,temp,9,DegreesCelsius,Method002
Waynewood,4/11/1997,1,1,temp,6.9,DegreesCelsius,Method002
Giles,8/6/1996,7,7,temp,22.5,DegreesCelsius,Method002
Giles,9/8/1991,9,9,temp,22.1,DegreesCelsius,Method002
Giles,8/11/1990,21,21,temp,8.7,DegreesCelsius,Method002
Lacawac,7/3/1989,11,11,temp,8.4,DegreesCelsius,Method002
Giles,6/14/2016,7,7,temp,14.3,DegreesCelsius,Method002
Giles,6/30/2011,5,5,temp,20.1,DegreesCelsius,Method002
Waynewood,8/28/1989,10,10,temp,8,DegreesCelsius,Method002
Giles,9/25/2015,3,3,temp,20.9,DegreesCelsius,Method002
Lacawac,9/14/1996,4,4,temp,21.6,DegreesCelsius,Method002
Lacawac,7/31/1989,4,4,temp,18,DegreesCelsius,Method002
Lacawac,7/4/1990,2,2,temp,24.3,DegreesCelsius,Method002
Lacawac,11/16/1993,5,5,temp,7,DegreesCelsius,Method002
Lacawac,8/2/1994,12,12,temp,6.7,DegreesCelsius,Method002
Lacawac,8/3/2018,2,2,temp,25,DegreesCelsius,Method144
Lacawac,6/22/2007,10,10,temp,5.4,DegreesCelsius,Method002
Giles,10/16/2009,22,22,temp,6.4,DegreesCelsius,Method002
Giles,1/26/1990,21,21,temp,4.2,DegreesCelsius,Method002
Lacawac,11/20/1992,7,7,temp,4.9,DegreesCelsius,Method002
Waynewood,11/12/1989,1,1,temp,8.7,DegreesCelsius,Method002
Giles,6/7/1988,5,5,temp,15,DegreesCelsius,Method002
Waynewood,9/8/1991,1,1,temp,22.4,DegreesCelsius,Method002
Lacawac,7/10/2009,5,5,temp,12.5,DegreesCelsius,Method002
Giles,5/19/2009,18,18,temp,6.3,DegreesCelsius,Method002
Lacawac,4/7/2017,7,7,temp,6.2,DegreesCelsius,Method144
Lacawac,6/22/2015,8,8,temp,6.7,DegreesCelsius,Method002
Waynewood,7/15/1992,4,4,temp,18.7,DegreesCelsius,Method002
Lacawac,9/20/1994,0,0,temp,20.2,DegreesCelsius,Method002
Waynewood,8/7/1996,12,12,temp,7.3,DegreesCelsius,Method002
Waynewood,8/28/1989,0,0,temp,22.9,DegreesCelsius,Method002
Waynewood,7/20/1993,2,2,temp,23.6,DegreesCelsius,Method002
Lacawac,3/17/1991,10,10,temp,3.5,DegreesCelsius,Method002
Lacawac,9/20/2000,6,6,temp,12.2,DegreesCelsius,Method002
Waynewood,8/18/1993,9,9,temp,7.1,DegreesCelsius,Method002
Lacawac,8/27/1991,6,6,temp,17.2,DegreesCelsius,Method002
Giles,8/3/1993,5,5,temp,23.5,DegreesCelsius,Method002
Lacawac,6/7/1988,9,9,temp,5,DegreesCelsius,Method002
Giles,4/11/2006,7,7,temp,5.7,DegreesCelsius,Method002
Lacawac,7/10/2009,4,4,temp,16.5,DegreesCelsius,Method002
Giles,6/5/1990,20,20,temp,7.6,DegreesCelsius,Method002
Giles,2/16/1990,9,9,temp,4.3,DegreesCelsius,Method002
Lacawac,4/12/1997,9,9,temp,6.9,DegreesCelsius,Method002
Giles,6/9/1993,2,2,temp,16.8,DegreesCelsius,Method002
Lacawac,6/3/1992,0,0,temp,16.2,DegreesCelsius,Method002
Giles,5/17/1990,11,11,temp,8.6,DegreesCelsius,Method002
Lacawac,6/15/2014,10,10,temp,6.5,DegreesCelsius,Method002
Giles,1/20/1993,0,0,temp,2.2,DegreesCelsius,Method002
Giles,7/5/1989,8,8,temp,14.9,DegreesCelsius,Method002
Waynewood,6/13/1996,3,3,temp,18,DegreesCelsius,Method002
Lacawac,10/11/2017,1,1,temp,19.8,DegreesCelsius,Method144
Giles,6/15/2018,17,17,temp,5.7,DegreesCelsius,Method144
Lacawac,11/12/1989,13,13,temp,9,DegreesCelsius,Method002
Giles,6/10/2009,9,9,temp,10.4,DegreesCelsius,Method002
Waynewood,8/18/1993,2,2,temp,22.8,DegreesCelsius,Method002
Giles,1/25/1992,15,15,temp,1.9,DegreesCelsius,Method002
Giles,5/13/2012,9,9,temp,10.6,DegreesCelsius,Method002
Giles,8/26/1991,5,5,temp,23,DegreesCelsius,Method002
Lacawac,4/20/1993,5,5,temp,6.9,DegreesCelsius,Method002
Giles,11/12/1996,13,13,temp,9.9,DegreesCelsius,Method002
Lacawac,4/19/2012,10,10,temp,8.2,DegreesCelsius,Method002
Giles,4/7/2017,18,18,temp,4.8,DegreesCelsius,Method144
Giles,6/28/2012,4,4,temp,22,DegreesCelsius,Method002
Waynewood,8/7/1996,8,8,temp,8.3,DegreesCelsius,Method002
Giles,4/23/2007,17,17,temp,4.7,DegreesCelsius,Method002
Giles,8/1/1989,-1,-1,temp,19.8,DegreesCelsius,Method002
Giles,8/18/1993,3,3,temp,22.9,DegreesCelsius,Method002
Lacawac,7/10/2009,11,11,temp,7.1,DegreesCelsius,Method002
Lacawac,8/13/2007,1,1,temp,25.5,DegreesCelsius,Method002
Waynewood,10/19/1990,3,3,temp,15.1,DegreesCelsius,Method002
Waynewood,8/18/1993,8,8,temp,8,DegreesCelsius,Method002
Lacawac,9/18/1990,1,1,temp,17.6,DegreesCelsius,Method002
Lacawac,9/18/1990,-1,-1,temp,10.5,DegreesCelsius,Method002
Waynewood,8/14/1989,12,12,temp,8,DegreesCelsius,Method002
Giles,6/5/1990,23,23,temp,7.5,DegreesCelsius,Method002
Giles,8/26/1991,4,4,temp,23,DegreesCelsius,Method002
Waynewood,10/19/1990,1,1,temp,15.1,DegreesCelsius,Method002
Lacawac,8/4/2018,9,9,temp,6.5,DegreesCelsius,Method144
Giles,8/13/2018,11,11,temp,8.9,DegreesCelsius,Method144
Waynewood,7/1/1992,0,0,temp,22.8,DegreesCelsius,Method002
Giles,8/2/2018,20,20,temp,5.6,DegreesCelsius,Method144
Waynewood,2/22/1992,1,1,temp,3.3,DegreesCelsius,Method002
Giles,8/13/2018,13,13,temp,7.4,DegreesCelsius,Method144
Giles,8/26/1991,23,23,temp,7.6,DegreesCelsius,Method002
Giles,6/10/2009,17,17,temp,6.6,DegreesCelsius,Method002
Waynewood,8/11/1992,9,9,temp,7,DegreesCelsius,Method002
Giles,8/11/1992,23,23,temp,7.9,DegreesCelsius,Method002
Giles,8/22/2000,18,18,temp,8,DegreesCelsius,Method002
Giles,7/5/1989,14,14,temp,9.5,DegreesCelsius,Method002
Giles,10/18/1994,8,8,temp,14.2,DegreesCelsius,Method002
Lacawac,6/15/2013,6,6,temp,8.8,DegreesCelsius,Method002
Giles,8/11/1990,17,17,temp,10.2,DegreesCelsius,Method002
Lacawac,7/6/1988,9,9,temp,5,DegreesCelsius,Method002
Giles,8/2/2013,13,13,temp,7.2,DegreesCelsius,Method002
Giles,8/1/1989,13,13,temp,11.4,DegreesCelsius,Method002
Giles,7/20/2000,11,11,temp,12.2,DegreesCelsius,Method002
Waynewood,8/18/1993,3,3,temp,22.6,DegreesCelsius,Method002
Giles,4/7/2017,1,1,temp,4.9,DegreesCelsius,Method144
Lacawac,6/13/1996,-1,-1,temp,23.7,DegreesCelsius,Method002
Giles,8/12/1991,1,1,temp,23.2,DegreesCelsius,Method002
Lacawac,8/2/1994,11,11,temp,6.7,DegreesCelsius,Method002
Lacawac,3/25/1990,8,8,temp,6.4,DegreesCelsius,Method002
Giles,1/25/1992,12,12,temp,1.7,DegreesCelsius,Method002
Lacawac,9/7/1991,13,13,temp,7,DegreesCelsius,Method002
Lacawac,7/20/1993,4,4,temp,21.8,DegreesCelsius,Method002
Giles,8/2/2018,16,16,temp,6.1,DegreesCelsius,Method144
Waynewood,5/17/1991,2,2,temp,20.1,DegreesCelsius,Method002
Waynewood,11/16/1993,7,7,temp,6.5,DegreesCelsius,Method002
Waynewood,1/26/1990,0,0,temp,0.8,DegreesCelsius,Method002
Lacawac,11/20/1997,-1,-1,temp,5,DegreesCelsius,Method002
Giles,9/11/1996,-1,-1,temp,20.5,DegreesCelsius,Method002
Giles,10/18/1994,0,0,temp,14.4,DegreesCelsius,Method002
Giles,6/22/2015,1,1,temp,24,DegreesCelsius,Method002
Lacawac,4/20/2006,1,1,temp,13.9,DegreesCelsius,Method002
Lacawac,7/14/2008,9,9,temp,6.5,DegreesCelsius,Method002
Lacawac,5/17/2010,1,1,temp,16.1,DegreesCelsius,Method002
Lacawac,7/25/1995,12,12,temp,7.9,DegreesCelsius,Method002
Lacawac,8/16/2011,5,5,temp,12.5,DegreesCelsius,Method002
Giles,8/15/2017,19,19,temp,5.3,DegreesCelsius,Method144
Lacawac,7/14/2018,10,10,temp,6.3,DegreesCelsius,Method144
Giles,8/6/1996,14,14,temp,10,DegreesCelsius,Method002
Lacawac,8/12/2018,7,7,temp,8,DegreesCelsius,Method144
Lacawac,9/11/1992,9,9,temp,7.3,DegreesCelsius,Method002
Giles,7/15/2015,10,10,temp,8.9,DegreesCelsius,Method002
Lacawac,8/14/1991,2,2,temp,23.3,DegreesCelsius,Method002
Giles,4/11/2006,13,13,temp,5.7,DegreesCelsius,Method002
Giles,6/5/1997,6,6,temp,15.4,DegreesCelsius,Method002
Waynewood,3/22/1993,0,0,temp,1.2,DegreesCelsius,Method002
Lacawac,7/16/1992,3,3,temp,23.1,DegreesCelsius,Method002
Giles,4/26/1994,12,12,temp,6.5,DegreesCelsius,Method002
Giles,9/13/2016,15,15,temp,8.2,DegreesCelsius,Method144
Waynewood,4/14/1991,11,11,temp,5.4,DegreesCelsius,Method002
Waynewood,6/13/1996,4,4,temp,14.7,DegreesCelsius,Method002
Waynewood,1/24/1992,10,10,temp,2.9,DegreesCelsius,Method002
Waynewood,8/3/1993,4,4,temp,22.5,DegreesCelsius,Method002
